Catalog ID	Category ID	Kink	Category	Description	Typical Role	Primary Mode	Intensity	Risk Level	Master Interest	Master Giving	Master Receiving	pet Interest	pet Giving	pet Receiving	Hard Limit?	Scene Use	Discussed?	Notes	Research Source(s)	Source URL(s)	Catalog Status
rope-bondage	bondage-restraint	Rope bondage	Bondage & Restraint	Restraining or decorating the body with rope.	Both	Physical/Psychological	Moderate	Moderate										Requires circulation/nerve awareness.			Original catalog
shibari-kinbaku	bondage-restraint	Shibari / kinbaku	Bondage & Restraint	Aesthetic and connective rope bondage traditions.	Both	Physical/Psychological	Moderate-High	Moderate-High										Skill-dependent; suspension adds substantial risk.			Original catalog
rope-suspension	bondage-restraint	Rope suspension	Bondage & Restraint	Suspending some or all body weight with rope.	Receiving	Physical/Psychological	High	High										Advanced specialty activity.			Original catalog
partial-suspension	bondage-restraint	Partial suspension	Bondage & Restraint	Some body weight supported while part remains grounded.	Receiving	Physical/Psychological	High	High										Advanced specialty activity.			Original catalog
predicament-bondage	bondage-restraint	Predicament bondage	Bondage & Restraint	Restraint arranged so one movement makes another sensation or position harder.	Both	Physical/Psychological	High	High										Careful monitoring and easy release.			Original catalog
mummification	bondage-restraint	Mummification	Bondage & Restraint	Wrapping the body to create extensive immobilization.	Receiving	Physical/Psychological	High	High										Heat, breathing, circulation, and panic risk.			Original catalog
cuffs	bondage-restraint	Cuffs	Bondage & Restraint	Wrist/ankle restraint using cuffs.	Both	Physical/Psychological	Low-Moderate	Low-Moderate										Avoid nerve compression.			Original catalog
leather-restraints	bondage-restraint	Leather restraints	Bondage & Restraint	Bondage using leather cuffs, straps, or harness restraints.	Both	Physical/Psychological	Low-Moderate	Low-Moderate										Fit matters.			Original catalog
metal-restraints	bondage-restraint	Metal restraints	Bondage & Restraint	Bondage using metal cuffs or similar hardware.	Both	Physical/Psychological	Moderate	Moderate										Hard edges and swelling require care.			Original catalog
spread-eagle-restraint	bondage-restraint	Spread-eagle restraint	Bondage & Restraint	Arms and legs restrained apart.	Receiving	Physical/Psychological	Moderate	Moderate										Monitor joints and circulation.			Original catalog
hogtie	bondage-restraint	Hogtie	Bondage & Restraint	Wrists and ankles secured behind the body.	Receiving	Physical/Psychological	High	High										Shoulder, back, and breathing risk.			Original catalog
