Source Sheet	Source File	Source Row	Category	Reward	Why It Might Work	Suggested Tier (1-3)	Notes
Rewards 100	jackie_reward_idea_bank_100.csv	2	Care / Pampering	Hair wash + scalp massage	focused caretaking + sensory comfort	2	Taylor handles setup; use normal hair products.
Rewards 100	jackie_reward_idea_bank_100.csv	3	Care / Pampering	Foot massage	direct care + physical attention	2	Already confirmed reward.
Rewards 100	jackie_reward_idea_bank_100.csv	4	Care / Pampering	Back massage	focused physical care	2	Already confirmed reward.
Rewards 100	jackie_reward_idea_bank_100.csv	5	Care / Pampering	Spa bath prepared by Taylor	zero planning + pampering	3	Bath, towel, drink, and products ready.
Rewards 100	jackie_reward_idea_bank_100.csv	6	Care / Pampering	Brush hair	soft care + intimacy	1	Already confirmed reward.
Rewards 100	jackie_reward_idea_bank_100.csv	7	Care / Pampering	Lotion massage	care + sustained attention	2	Use tolerated products.
Rewards 100	jackie_reward_idea_bank_100.csv	8	Care / Pampering	Fresh sheets + shower + cuddle setup	sensory reset + comfort	2	Strong 'everything feels right' reward.
Rewards 100	jackie_reward_idea_bank_100.csv	9	Care / Pampering	Cozy nest prepared in advance	being cared for before asking	2	Blankets, pillows, drink, charger ready.
Rewards 100	jackie_reward_idea_bank_100.csv	10	Care / Pampering	Scalp scratches while lying on Taylor	touch + attachment	1	Easy everyday reward.
Rewards 100	jackie_reward_idea_bank_100.csv	11	Care / Pampering	Head-in-lap hair play	care + physical closeness	1-2	Low effort, high emotional value.
Rewards 100	jackie_reward_idea_bank_100.csv	12	Care / Pampering	Taylor helps with skincare	caretaking + ritual	2	Normal products only.
Rewards 100	jackie_reward_idea_bank_100.csv	13	Care / Pampering	Warm towel after bath/shower	sensory comfort + thoughtfulness	1	Simple add-on.
Rewards 100	jackie_reward_idea_bank_100.csv	14	Care / Pampering	Hand massage	focused tending + touch	1-2	Good low-effort reward.
Rewards 100	jackie_reward_idea_bank_100.csv	15	Care / Pampering	Shoulder rub while Jackie rambles	touch + being listened to	2	Combines care and attention.
Rewards 100	jackie_reward_idea_bank_100.csv	16	Care / Pampering	Massage while watching Jackie's chosen show	care + choice + connection	2	No multitasking expectation for Jackie.
Rewards 100	jackie_reward_idea_bank_100.csv	17	Care / Pampering	Taylor makes a snack plate	being fed/cared for without decision burden	2	Reward is care, not restricting food.
Rewards 100	jackie_reward_idea_bank_100.csv	18	Care / Pampering	Drink brought to Jackie without asking	anticipatory caretaking	1	Favorite normal drink.
Rewards 100	jackie_reward_idea_bank_100.csv	19	Care / Pampering	Taylor sets out pajamas/comfy clothes	being looked after	1	Jackie can veto comfort issues.
Rewards 100	jackie_reward_idea_bank_100.csv	20	Care / Pampering	Blanket tucked exactly how Jackie likes	sensory completion + care	1	Tiny but potentially high-value.
Rewards 100	jackie_reward_idea_bank_100.csv	21	Care / Pampering	Full 'you do nothing' pamper hour	surrender of responsibility + care	3	Taylor decides the sequence from approved options.
Rewards 100	jackie_reward_idea_bank_100.csv	22	Focused Attention / Connection	Phone-free game together	undivided shared attention	2	Choose a game both enjoy.
Rewards 100	jackie_reward_idea_bank_100.csv	23	Focused Attention / Connection	Board/card game night	play + connection	2	Already confirmed reward.
Rewards 100	jackie_reward_idea_bank_100.csv	24	Focused Attention / Connection	Taylor plays Jackie's chosen game	interest-sharing + attention	2	Jackie chooses.
Rewards 100	jackie_reward_idea_bank_100.csv	25	Focused Attention / Connection	Pick the movie	agency + shared time	1	Already confirmed reward.
Rewards 100	jackie_reward_idea_bank_100.csv	26	Focused Attention / Connection	Movie night with snacks prepared	connection + care	2	Taylor handles setup.
Rewards 100	jackie_reward_idea_bank_100.csv	27	Focused Attention / Connection	Intentional cuddle hour	focused physical connection	2	No chores/projects during the hour.
Rewards 100	jackie_reward_idea_bank_100.csv	28	Focused Attention / Connection	Lap cuddle while Jackie uses laptop	physical attachment + freedom to tinker	1-2	Best of both Jackie modes.
Rewards 100	jackie_reward_idea_bank_100.csv	29	Focused Attention / Connection	Taylor asks about current hyperfixation for 20 minutes	curiosity + feeling known	2	Follow-up questions encouraged.
Rewards 100	jackie_reward_idea_bank_100.csv	30	Focused Attention / Connection	Tell-me-about-horses session	special-interest attention	2	Yes, this gets its own reward 😂.
Rewards 100	jackie_reward_idea_bank_100.csv	31	Focused Attention / Connection	Taylor watches Jackie demo a project	being seen + competence recognition	2	Full attention, not passive nearby presence.
Rewards 100	jackie_reward_idea_bank_100.csv	32	Focused Attention / Connection	Shared YouTube rabbit hole	curiosity + companionship	1-2	Jackie picks topic.
Rewards 100	jackie_reward_idea_bank_100.csv	33	Focused Attention / Connection	Read/watch something together then discuss it	joint cognition + intimacy	2	No serious-analysis requirement.
Rewards 100	jackie_reward_idea_bank_100.csv	34	Focused Attention / Connection	Coffee/drink + couch conversation	low-pressure connection	1-2	Casual, not relationship summit.
