Category	Activity	Sensation / Experience	Psychological Hook	Suggested Intensity (1-3)	Safety / Structure Note
Impact	Hand spanking with counting	warm sting	counting + accountability	2	Keep force moderate and away from joints/spine.
Impact	Leather strap over clothing	broad sting	sound + anticipation	2	Use known safe impact zones.
Impact	Soft leather paddle	sting + light thud	formal discipline vibe	2	Easy to modulate.
Impact	Wooden paddle	deeper thud + sting	ritualized punishment	3	Intensity ramps quickly; use conservative force.
Impact	Hairbrush spanking	dense sting	classic disciplinary association	2-3	Avoid bony areas.
Impact	Wooden spoon taps	small sharp sting	domestic punishment vibe	2	Use light, controlled taps.
Impact	Riding crop taps	focused sting	precision + anticipation	2	Use only on agreed safe areas.
Impact	Slapper impacts	fast sting + noise	sound amplifies anticipation	2	Noise can make it feel harsher than it is.
Impact	Alternating hand and paddle	contrast of warm sting/thud	uncertainty	2-3	Keep overall intensity bounded.
Impact	Alternating sting and thud implements	sensory contrast	keeps body guessing	3	Pre-approve implements.
Impact	Slow-count impact set	building sting	anticipation between strikes	2-3	Known maximum count.
Impact	Random-pause impact set	sting	unpredictable timing	2-3	Bounded number and duration.
Impact	Three-strikes-then-freeze pattern	impact + after-sting	must regain stillness	2-3	Safewords always override stillness.
Impact	Impact then immediate posture reset	sting + composure challenge	obedience after pain	3	Use moderate intensity.
Impact	Impact with eye contact	sting	vulnerability + attention	2-3	Easy opt-out if emotionally intense.
Impact	Silent impact round	sting/thud	serious ritual tone	2-3	Keep communication channel for safety.
Impact	Impact followed by counted breaths	after-sting	composure + ritual	2	No breath restriction; just normal breathing.
Impact	Impact only after correct response	sting	attention + accountability	2-3	Questions should be simple, not interrogative.
Impact	Impact after a waiting period	anticipation	delay increases psychological weight	2	Use a known maximum wait.
Impact	Mystery approved implement	varied	uncertainty without surprise limits	2-3	Draw only from pre-consented options.
Localized Pain	Firm pinching	sharp localized pressure	precision + control	2	Avoid nerves, bruised skin, and fragile areas.
Localized Pain	Sustained pinch hold	ache + pressure	endurance	2-3	Short duration; stop for numbness.
Localized Pain	Fingernail pinch	narrow sharp pressure	small but intense correction	2	Avoid breaking skin.
Localized Pain	Clothespins on agreed low-risk areas	sustained pinch	anticipation + removal sensitivity	2-3	Monitor color/circulation; keep duration short.
Localized Pain	Single clothespin endurance hold	focused pinch	stillness	2	Short, monitored interval.
