Kink	Category	Description	Risk Level	Notes	Research Source(s)	Source URL(s)
Anal sex	Sexual Activities & Techniques	Consensual anal penetration as a sexual activity.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Fellatio / blowjob	Sexual Activities & Techniques	Oral stimulation of a penis.	Low-Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Cunnilingus	Sexual Activities & Techniques	Oral stimulation of a vulva.	Low-Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Deep-throat play	Sexual Activities & Techniques	Oral play centered on deeper penetration and gag-reflex intensity.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Face-sitting	Sexual Activities & Techniques	One partner sits or hovers over the other's face as an oral-sex / power-position activity.	Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Hand stimulation / handjob	Sexual Activities & Techniques	Manual genital stimulation.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Vaginal fingering	Sexual Activities & Techniques	Manual vaginal stimulation.	Low	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Anal fingering	Sexual Activities & Techniques	Manual anal stimulation.	Low-Moderate	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Vaginal fisting	Sexual Activities & Techniques	Hand insertion as an advanced penetration activity.	High	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
Anal fisting	Sexual Activities & Techniques	Hand insertion as an advanced anal activity.	High	Adult consensual activity; individual anatomy and health considerations vary.	Tumblr 400+ list; KinkSheet	https://5ummit.tumblr.com/post/686429062096355328/list-of-400-kinks-tropes; https://kinksheet.com/
