Category	Reward Idea	Why It Might Work for Jackie	Suggested Tier (1-3)	Notes
Care / Pampering	Hair wash + scalp massage	focused caretaking + sensory comfort	2	Taylor handles setup; use normal hair products.
Care / Pampering	Foot massage	direct care + physical attention	2	Already confirmed reward.
Care / Pampering	Back massage	focused physical care	2	Already confirmed reward.
Care / Pampering	Spa bath prepared by Taylor	zero planning + pampering	3	Bath, towel, drink, and products ready.
Care / Pampering	Brush hair	soft care + intimacy	1	Already confirmed reward.
Care / Pampering	Lotion massage	care + sustained attention	2	Use tolerated products.
Care / Pampering	Fresh sheets + shower + cuddle setup	sensory reset + comfort	2	Strong 'everything feels right' reward.
Care / Pampering	Cozy nest prepared in advance	being cared for before asking	2	Blankets, pillows, drink, charger ready.
Care / Pampering	Scalp scratches while lying on Taylor	touch + attachment	1	Easy everyday reward.
Care / Pampering	Head-in-lap hair play	care + physical closeness	1-2	Low effort, high emotional value.
Care / Pampering	Taylor helps with skincare	caretaking + ritual	2	Normal products only.
Care / Pampering	Warm towel after bath/shower	sensory comfort + thoughtfulness	1	Simple add-on.
Care / Pampering	Hand massage	focused tending + touch	1-2	Good low-effort reward.
Care / Pampering	Shoulder rub while Jackie rambles	touch + being listened to	2	Combines care and attention.
Care / Pampering	Massage while watching Jackie's chosen show	care + choice + connection	2	No multitasking expectation for Jackie.
Care / Pampering	Taylor makes a snack plate	being fed/cared for without decision burden	2	Reward is care, not restricting food.
Care / Pampering	Drink brought to Jackie without asking	anticipatory caretaking	1	Favorite normal drink.
Care / Pampering	Taylor sets out pajamas/comfy clothes	being looked after	1	Jackie can veto comfort issues.
Care / Pampering	Blanket tucked exactly how Jackie likes	sensory completion + care	1	Tiny but potentially high-value.
Care / Pampering	Full 'you do nothing' pamper hour	surrender of responsibility + care	3	Taylor decides the sequence from approved options.
Focused Attention / Connection	Phone-free game together	undivided shared attention	2	Choose a game both enjoy.
Focused Attention / Connection	Board/card game night	play + connection	2	Already confirmed reward.
Focused Attention / Connection	Taylor plays Jackie's chosen game	interest-sharing + attention	2	Jackie chooses.
Focused Attention / Connection	Pick the movie	agency + shared time	1	Already confirmed reward.
Focused Attention / Connection	Movie night with snacks prepared	connection + care	2	Taylor handles setup.
