Reward Idea	Why It Might Work	Suggested Tier (1-3)	Notes
Mystery drink delivery	Taylor brings a drink he picked because he knows Jackie will like it	1	High intentionality; low effort.
Tiny surprise object	A small $3–$10 thing Taylor saw and thought 'Jackie'	1	Thoughtfulness > price.
Pick-a-number reward	Jackie chooses a number mapped to a hidden reward	1-2	Use only pre-approved rewards.
Tiny treasure hunt	A few clues around the house leading to a treat, note, or activity	2	Keep playful and short.
I-planned-this-for-you envelope	Taylor prepares a surprise plan from approved options	2-3	Can be bath, game, outing, massage, etc.
Ridiculous impulse purchase token	One silly non-practical purchase within a set budget	2	Budget-capped.
Aesthetic snack plate	Favorite snacks arranged nicely instead of just handed over	1-2	Reward is care + presentation.
Taylor chooses a horse topic and asks Jackie to teach him	Special-interest attention + being known	2	Full attention and follow-up questions.
Random compliment ambush	Taylor gives a specific compliment at an unexpected time	1	Specific > generic.
Written 'why I love you' card	Short note Jackie can keep and reread	2	High emotional replay value.
Affectionate voice memo	Taylor records a short loving/proud/flirty message	2	Replayable reward.
Come-here token	Redeem for a short intentional cuddle when practical	1-2	Not an entitlement to interrupt urgent needs.
I-pick-where-I-sit token	Jackie chooses the cuddle/lap configuration	1	Very tailored.
Special cuddle-position reward	Jackie gets exactly the cuddle setup she wants	1-2	Focus on intentionality.
Taylor builds the nest	Blankets, pillows, charger, drink, snack all prepared	2	Zero setup burden.
No-getting-up privilege	Once settled, Taylor fetches small forgotten things	2	Reasonable items only.
Bath concierge	Taylor runs bath and handles towel/drink/setup	2-3	Pampering + no decisions.
Hair-play block	Dedicated brushing/scalp-scratch/styling time	1-2	Pure care.
You-are-done-for-the-day ritual	Taylor explicitly declares no more productivity required	2	Strong permission/closure reward.
One task disappears	Taylor fully takes one minor task off Jackie's plate	2	Non-essential, one-off.
Chore swap coupon	Swap a disliked chore for one Jackie minds less	1-2	Keep responsibilities balanced overall.
Choose-the-bedtime-vibe	Jackie chooses movie/music/cuddle/game/quiet	1-2	Low-stakes agency reward.
Full TV control night	Jackie picks what is watched without negotiation	1	Playful privilege.
Mystery takeout from favorites	Taylor chooses from already-liked places/items	2	No food surprises outside preferences.
Drive-thru surprise	Taylor drives somewhere and Jackie finds out on arrival	2	Pre-approved category/location range.
Late-night little drive	Short music-filled drive together	2	Simple mini-adventure.
Let's-wander reward	Bookstore/Target/mall/etc. with no objective	2	No purchase required.
Tiny adventure	Visit somewhere new within ~20 minutes	2-3	Low effort novelty.
Random dessert mission	Go out specifically for dessert	1-2	Spontaneous outing.
Buy-one-stupid-little-thing rule	Purchase one amusing non-practical item	1-2	Tiny budget.
New-game night	Try a cheap/free co-op game together	2	Novelty + connection.
Replay-a-favorite night	Revisit a comfort game/movie together	1-2	Familiarity as reward.
No-complaining board-game pick	Jackie picks the game and Taylor commits	2	Playful framing.
Yes-to-the-hobby pass	Guilt-free block for current obsession	2	No chore debt attached.
Project audience	Taylor watches a demo and asks real questions	2	Focused attention.
Make-something-together reward	Craft, recipe, LEGO, home project, etc.	2	Shared creation.
Taylor commissions Jackie	He invents a silly intellectual challenge for her	2	Should be fun, not work-like.
Puzzle/problem reward	Taylor finds something interesting for Jackie to solve	1-2	Competence as pleasure.
Curiosity roulette	Taylor asks a weird question and you rabbit-hole together	1-2	Pure shared curiosity.
Random documentary/topic night	Learn about something together	2	Low-pressure exploration.
Convince-me game	Jackie gets five minutes to persuade Taylor about something inconsequential	1-2	Playful rhetoric.
Mini debate	Taylor deliberately takes the opposite side on a silly topic	1-2	Keep non-sensitive.
Celebratory mini-presentation	Jackie teaches Taylor something cool she learned	2	Praise, not evaluation.
Achievement ceremony	Overly formal recognition for something mundane	1-2	Deliberately ridiculous.
