Category	Idea	Why It Might Hit	Predicted Fit	Structure / Safety Note
Cold / Water Sensory	Cold shower, short bounded interval	whole-body cold + loss of preferred sensory control	Very High	Keep brief; stop for dizziness, numbness, breathing difficulty, or distress.
Cold / Water Sensory	Cold shower with arms kept at sides	cold + reduced ability to shield body	Very High	No restraint; normal movement always allowed for safety.
Cold / Water Sensory	Cold shower while counting slowly	cold + forced attention	Very High	Known count/end point.
Cold / Water Sensory	Cold shower with visible timer	anticipation + sustained cold	Very High	Short, explicit maximum.
Cold / Water Sensory	Cold shower followed by a required 30-second stillness before toweling	delayed sensory resolution	Very High	Warm room; stop if shivering becomes intense.
Cold / Water Sensory	Shower spray over forehead/face for a few seconds	water-on-face aversion	Very High	Never obstruct breathing; eyes can close; brief only.
Cold / Water Sensory	Let water run down face while standing still	face/eye sensory discomfort + stillness	Very High	No breath restriction; stop immediately if panicky.
Cold / Water Sensory	Face splash from cupped clean water	sudden wet-face sensation	High	Small amount only; no forced inhalation.
Cold / Water Sensory	Wet washcloth laid briefly across cheeks/forehead	persistent facial wetness	High	Keep nose/mouth fully clear.
Cold / Water Sensory	Hairline rinse with water allowed to run over face	loss of control over water path	High	Standing stable; no pressure over airway.
Cold / Water Sensory	Wash face without immediately towel-drying	wet-face persistence	Very High	Short wait only.
Cold / Water Sensory	Cold damp cloth on back of neck	cold + localized wetness	Medium-High	Avoid if it causes headache/dizziness.
Cold / Water Sensory	One forearm under cool running water while other stays dry	cold + asymmetry	High	Short and comfortable enough to remain safe.
Cold / Water Sensory	Cool water over one leg only	temperature asymmetry	High	Non-slip setup.
Cold / Water Sensory	Finish a normal warm shower with a brief cool rinse	pleasant-to-aversive contrast	Very High	No extreme temperatures.
Cold / Water Sensory	Cool shower while Taylor controls when it returns warm	loss of sensory control + anticipation	Very High	Pre-agreed short max; Jackie can stop at any time.
Cold / Water Sensory	Stand under shower spray without turning away for a short count	face/body water + obedience	Very High	Do not require face exposure if breathing feels affected.
Cold / Water Sensory	Wet hair left dripping for a short period before towel	persistent wet-body sensation	High	Warm environment; protect floors.
Cold / Water Sensory	Drip clean water down one side of face only	facial asymmetry + wetness	Very High	Small amounts, nose/mouth clear.
Cold / Water Sensory	Cold wet hands placed briefly on shoulders/arms	unexpected cold + touch	High	No extreme cold or startling if unsafe.
Asymmetry	One sock on, one sock off	persistent body asymmetry	Very High	Short bounded duration.
Asymmetry	One sock smooth, the other slightly bunched	fabric mismatch + urge to fix	Very High	No constriction.
Asymmetry	One sleeve up, one sleeve down	skin/clothing asymmetry	High	Comfortable fit.
Asymmetry	One pant leg cuffed, one uncuffed	visual + tactile imbalance	High	No walking hazard.
Asymmetry	Hair tucked behind one ear only	persistent asymmetry awareness	Medium-High	Easy reset after.
Asymmetry	One hand gloved, one bare	texture/temperature mismatch	High	Loose breathable glove.
Asymmetry	One shoe on, one shoe off while seated	foot asymmetry	Very High	Seated only.
Asymmetry	One side of blanket tucked, other loose	uneven pressure	High	No breathing restriction.
Asymmetry	One side of hair brushed, other left messy	visual/tactile incompleteness	High	No tangling.
Asymmetry	One wrist wearing a soft band, other bare	one-sided awareness	Medium	Loose fit.
Asymmetry	One side gets lotion, other stays dry	residue asymmetry	High	Skin-safe lotion.
Asymmetry	Only one side receives agreed impact	physical imbalance + incompleteness	Very High	Conservative impact; asymmetry is the point.
Asymmetry	Only one thigh gets agreed pinching/scratching	one-sided after-sensation	High	No skin damage.
Asymmetry	One side of clothing aligned neatly, other deliberately crooked	persistent wrongness	High	No restrictive folds.
Asymmetry	One side of body gets a brief cool rinse, other remains warm	temperature asymmetry	High	Non-slip, short duration.
Sensory Wrongness	Step barefoot on peeled grapes in a tray	wet + yielding + unpredictable squish	Very High	Non-slip setup; clean immediately afterward.
Sensory Wrongness	Squish peeled grapes by hand	mushy + wet + residue	Very High	Food-safe, short duration.
Sensory Wrongness	Mash ripe banana with fingers	sticky + mushy	Very High	Wash afterward.
Sensory Wrongness	Handle cooled cooked pasta	slippery + limp texture	High	Fresh/cooled only.
Sensory Wrongness	Touch wet paper and separate stuck sheets	mushy + fragile texture	High	Clean water/paper.
Sensory Wrongness	Hold damp sponge and repeatedly squeeze it	wet compression	High	Clean sponge.
Sensory Wrongness	Fingertips lightly coated in syrup before waiting to wash	sticky residue + delayed relief	Very High	Tiny amount, short wait.
Sensory Wrongness	Lotion on palms with delayed permission to wipe	persistent residue	High	Use tolerated lotion.
Sensory Wrongness	One slightly damp sock	wet fabric + asymmetry	Very High	Clean water, short duration.
Sensory Wrongness	Sit on a deliberately wrinkled towel	persistent uneven tactile input	High	No sharp folds.
Sensory Wrongness	Tiny harmless crumb under thigh while seated	irregular low-level pressure signal	Medium-High	Soft crumb only.
Sensory Wrongness	Touch microfiber with dry hands	dry catching texture	High if aversive	Stop if skin irritated.
Sensory Wrongness	Handle a cotton ball with slightly damp fingertips	texture mismatch	Medium-High	Clean materials.
Sensory Wrongness	Press fingers into cooled oatmeal	sticky/mushy tactile wrongness	High	Fresh/cooled; wash afterward.
Sensory Wrongness	Handle a peeled tomato or similar slippery food	slippery + delicate texture	High	Food-safe and contained.
Speech / Processing Restriction	No explaining for 60 seconds after being asked a harmless question	blocks immediate external processing	Very High	Never use during genuine conflict/distress.
Speech / Processing Restriction	Answer in exactly five words	compression + speech constraint	Very High	Low-stakes topic.
Speech / Processing Restriction	Answer only yes/no until released	restricted expression	High	Safety/needs communication always unrestricted.
Speech / Processing Restriction	Write the answer before speaking it	forces internal processing first	High	Short prompt.
Speech / Processing Restriction	State facts first, interpretations second	structured verbal control	Very High	Useful only in playful/low-stakes scenarios.
Speech / Processing Restriction	Wait for 'go' before explaining	delayed externalization	Very High	Short known wait.
Speech / Processing Restriction	One-sentence maximum response	forced concision	Very High	Harmless topic.
Speech / Processing Restriction	No caveats on first answer	must commit before qualifying	High	Low-stakes question only.
Speech / Processing Restriction	Three-question quota	must choose clarifying questions carefully	Very High	Harmless assignment.
Speech / Processing Restriction	Ask permission before adding another explanation	meta-control over elaboration	High	Brief window only.
Speech / Processing Restriction	No correcting Taylor's harmless phrasing until invited	suppressed correction impulse	Very High	Never use for meaningful misunderstandings.
Speech / Processing Restriction	Repeat Taylor's instruction back exactly before responding	precision + delayed self-expression	High	Short instructions.
Speech / Processing Restriction	Use only a pre-agreed response format	structured expression	High	Safety speech exempt.
Speech / Processing Restriction	One minute of intentional silence while seated together	denied talking outlet	High	Not during emotional rupture.
Speech / Processing Restriction	Presentation first, questions afterward	must hold thoughts until designated phase	Very High	Clear time boundaries.
Optimization / Pacing	Follow an intentionally inefficient but harmless method	systems-brain frustration	Very High	Tiny low-stakes task.
Optimization / Pacing	Move items one at a time instead of batching	blocked optimization	Very High	Light objects only.
Optimization / Pacing	Wait 20 seconds between task steps	interrupts momentum	Very High	Short total task.
Optimization / Pacing	Do not multitask during a tiny chore	denial of concurrency	Very High	Brief task only.
Optimization / Pacing	Use first acceptable solution	cannot keep searching for optimal	Very High	Low-stakes decision.
Optimization / Pacing	Stop at 'good enough' when Taylor says done	completion-control transfer	Very High	Only harmless artifacts.
Optimization / Pacing	No revision after submission for 10 minutes	finality discomfort	Very High	Can revise later.
Optimization / Pacing	Complete task in Taylor's chosen order	loss of prioritization control	Very High	All tasks nonessential.
Optimization / Pacing	Ask for each next step instead of seeing whole plan	information throttling	Very High	Known total length.
Optimization / Pacing	Use a fixed template without redesigning it	format-control surrender	High	Temporary artifact.
Optimization / Pacing	No shortcuts allowed	procedural submission	Very High	No needless physical strain.
Optimization / Pacing	Write five lines very slowly and neatly	forced pacing	Very High	Avoid hand strain.
Optimization / Pacing	Pause before marking a task complete	delayed closure	High	Known short timer.
Optimization / Pacing	Explain the better method but still use assigned method	optimization denied after recognition	Very High	Tiny harmless task.
Optimization / Pacing	Watch Taylor do a harmless task inefficiently without correcting	suppressed optimization urge	Very High	No consequential task.
Incompleteness	Align four objects but leave one crooked	visual incompleteness	High	Harmless objects.
Incompleteness	Fold a towel halfway and leave it	completion itch	High	Short duration.
Incompleteness	Tiny puzzle stopped one piece before completion	near-completion frustration	Very High	Small puzzle.
Incompleteness	Checklist with one harmless item left unchecked	open-loop tension	Very High	Never essential tasks.
Incompleteness	Make bed except one wrinkled corner	visible imperfection	High	Not during sleep time.
Incompleteness	Sort cards but leave one intentionally out of order	pattern violation	High	Small set.
Incompleteness	Organize pens by color with one misplaced	classification disruption	High	Tiny setup.
Incompleteness	Put everything away except one conspicuous harmless object	unfinished environment	High	Known endpoint.
Incompleteness	Write a list with one bullet intentionally unfinished	language completion itch	High	Short duration.
Incompleteness	Build a symmetrical pattern then remove one piece	broken symmetry	Very High	Safe pieces.
Decision / Protocol	Pick dinner completely with no input	decision ownership	Very High	Food itself is never withheld/punished; this is only choice burden.
Decision / Protocol	Plan the whole low-stakes date	full planning responsibility	Very High	Budget/limits pre-agreed.
Decision / Protocol	Choose the movie and commit without reopening	decision finality	High	Low stakes.
Decision / Protocol	Choose one of three imperfect options	tradeoff discomfort	Very High	Fictional or harmless choices.
Decision / Protocol	Taylor chooses the order of three tiny activities	loss of sequencing control	High	All optional.
Decision / Protocol	Ask permission before changing position for five minutes	micro-protocol + control	High	Safety/comfort needs override.
Decision / Protocol	Wait in designated spot until formally dismissed	protocol + anticipation	High	Known short max.
Decision / Protocol	Follow one-step-at-a-time instructions for a simple task	external pacing + submission	Very High	Harmless task.
Decision / Protocol	Formal start-and-release phrase for punishment	ritual + containment	High	Explicitly marks beginning/end.
Decision / Protocol	Mystery consequence from a pre-approved sensory/protocol list	uncertainty + surrendered choice	Very High	Only already-consented options; no food/drink deprivation or domestic-service punishments.
