Category	Idea	Why It Might Be Difficult	Predicted Fit	Safety / Structure Note
Asymmetry	One sock on, one sock off	Persistent body asymmetry	High	Short, bounded duration; remove immediately if distress stops being playful.
Asymmetry	One sleeve rolled up, one sleeve down	Uneven skin/clothing sensation	Medium	No circulation restriction.
Asymmetry	One pant leg cuffed, one uncuffed	Visual + tactile imbalance	Medium	Keep walking-safe.
Asymmetry	One shoe on, one shoe off while seated	Uneven foot sensation	High	Seated only; no walking.
Asymmetry	One ankle covered, one exposed	Temperature/tactile mismatch	Medium	Keep room temperature comfortable.
Asymmetry	One hand gloved, one bare	Different texture/temperature on each hand	Medium	Use breathable glove; short duration.
Asymmetry	Hair tucked behind only one ear	Persistent 'wrong side' awareness	Low-Medium	Easy reset afterward.
Asymmetry	One cuff buttoned, one unbuttoned	Clothing mismatch	Low-Medium	Avoid anything tight.
Asymmetry	Blanket tucked tightly on one side and loose on the other	Uneven pressure	Medium	No breathing restriction.
Asymmetry	Sit with one foot on a soft mat and one on bare floor	Uneven sensory input	Medium	Stable seated position.
Asymmetry	One wrist wearing a soft band, the other bare	One-sided awareness	Low-Medium	Loose enough for normal circulation.
Asymmetry	One side of hair brushed neatly, the other left messy	Visual/tactile incompleteness	Medium	No painful tangles.
Asymmetry	One side gets lotion, the other stays dry	Texture contrast	Medium	Use skin-safe lotion.
Asymmetry	One hand clean, one intentionally slightly sticky	One-sided residue mismatch	High	Use food-safe, non-irritating substance.
Asymmetry	One side of a pillow/blanket arranged perfectly, the other intentionally rumpled	Visual + tactile mismatch	Medium	Keep sleep itself out of punishment.
Asymmetry	One sock pulled perfectly smooth, the other slightly bunched	Localized fabric wrongness	High	No constriction; short duration.
Asymmetry	One sleeve cuffed neatly, the other crooked	Visual/tactile mismatch	Medium	Keep comfortable.
Asymmetry	One side of a hoodie zipped/arranged 'right,' the other slightly off	Persistent asymmetry cue	Medium	No choking/neck pressure.
Asymmetry	Only one side receives agreed impact	Physical imbalance / incompleteness	High	Use conservative impact; asymmetry should do the work, not excess force.
Asymmetry	Only one thigh receives agreed pinching/scratching	One-sided after-sensation	High	Stay within negotiated low-risk areas; no skin damage.
Incompleteness	Start folding a towel perfectly, then stop halfway	Completion itch	Medium	Leave only briefly.
Incompleteness	Align three objects, leave the fourth visibly crooked	Visual incompleteness	Medium	Harmless household objects only.
Incompleteness	Make the bed except for one intentionally wrinkled corner	Unresolved visual imperfection	Medium	Not during actual bedtime.
Incompleteness	Sort a small set by category, leave one item deliberately misplaced	Classification itch	Medium	Tiny, bounded task.
Incompleteness	Begin organizing a drawer, then stop with one section unfinished	Interrupted completion	High	Use a small area so it doesn't create real household burden.
Incompleteness	Stack objects neatly except one rotated 90 degrees	Pattern violation	Medium	Stable, non-breakable objects.
