Scope Type	Scope ID	Applies To	Signal ID	Weight	Notes
category	bondage-restraint	any	movement_restriction	0.50	physical restriction is common across the category
category	bondage-restraint	receiving	receiving_restraint	0.75	receiving-side restraint category default
category	bondage-restraint	receiving	receiving_constraint_control	0.25	secondary control-through-constraint association
category	bondage-restraint	giving	giving_restraint	0.75	giving-side restraint category default
category	bondage-restraint	giving	giving_constraint_control	0.25	secondary control-through-constraint association
category	impact-play	receiving	pain_receiving	0.75	impact commonly expresses receiving pain
category	impact-play	receiving	receiving_intensity	0.50	impact commonly expresses receiving intensity
category	impact-play	giving	pain_giving	0.75	impact commonly expresses giving pain
category	impact-play	giving	giving_intensity	0.50	impact commonly expresses giving intensity
category	pain-sensation	receiving	pain_receiving	0.75	pain/sensation category default
category	pain-sensation	receiving	receiving_intensity	0.50	secondary receiving-intensity association
category	pain-sensation	giving	pain_giving	0.75	pain/sensation category default
category	pain-sensation	giving	giving_intensity	0.50	secondary giving-intensity association
category	protocol-obedience-service	any	structure	0.50	protocol/service category default
category	protocol-obedience-service	any	ritual_significance	0.50	formal repeated behavior is common
category	protocol-obedience-service	receiving	obedience	0.50	receiving-side protocol often includes obedience
category	protocol-obedience-service	receiving	service	0.50	receiving-side service association
category	protocol-obedience-service	giving	guidance_shaping	0.25	giving-side protocol can involve shaping expectations
category	power-exchange-roles	any	role_embodiment	0.50	roles are explicit in this category
category	power-exchange-roles	receiving	receiving_control	0.50	receiving-side power exchange
category	power-exchange-roles	receiving	responsibility_transfer	0.25	secondary responsibility-transfer association
category	power-exchange-roles	giving	giving_control	0.50	giving-side power exchange
category	power-exchange-roles	giving	responsibility_holding	0.25	secondary responsibility-holding association
category	pet-animal-roleplay	any	role_embodiment	0.75	pet/animal play is strongly role-embodied
category	pet-animal-roleplay	any	playfulness	0.50	playful/creature mode association
category	primal-play	any	primal_embodiment	0.75	primal category defining association
category	collars-symbols-marking	any	ownership_symbolism	0.75	symbolic claiming/ownership is common
category	collars-symbols-marking	any	ritual_significance	0.50	symbols/marking can carry ritual meaning
category	collars-symbols-marking	any	belonging	0.25	secondary belonging association
category	caretaking-reward-oriented	receiving	care_receiving	0.75	receiving-side care association
category	caretaking-reward-oriented	giving	care_giving	0.75	giving-side care association
category	caretaking-reward-oriented	any	praise_approval	0.25	reward-oriented secondary association
category	endurance-positioning	receiving	receiving_endurance	0.50	receiving endurance category default
category	endurance-positioning	receiving	receiving_positioning	0.50	receiving positioning category default
category	endurance-positioning	giving	giving_endurance	0.50	giving endurance category default
