Kink	Category	Description	Risk Level	Notes	Research Source(s)	Source URL(s)
Bondage yoke	Bondage & Restraint	Rigid yoke-style restraint that limits arm and upper-body movement.	Moderate-High	Fit, joint position, balance, and rapid release matter.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/
Head harness restraint	Bondage & Restraint	Harness fitted around the head as restraint gear or an attachment point for other equipment.	Moderate-High	Avoid loading the neck; fit and attachment points matter.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/
Hobble skirt bondage	Bondage & Restraint	Restrictive skirt or garment that intentionally limits stride and leg movement.	Moderate	Fall risk and circulation/fit considerations.	Wikipedia — List of BDSM equipment; Fetish.com — Fetish clothing	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/fetish-clothing/
Funnel gag	Protocol, Bondage & D/s Details	Gag design with a funnel opening used as a distinct mouth-restraint style.	High	Airway, aspiration, jaw strain, and communication concerns make this high-risk gear.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/
Mouthguard gag	Protocol, Bondage & D/s Details	Mouth-restraint style based on a mouthguard-like form.	Moderate-High	Jaw comfort, airway access, and nonverbal communication matter.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/
Inflatable gag	Protocol, Bondage & D/s Details	Gag whose size or pressure can be changed by inflation.	High	Airway and jaw pressure can change quickly; requires conservative use and monitoring.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/
Muzzle gag	Protocol, Bondage & D/s Details	Muzzle-style restraint worn over the mouth and lower face.	Moderate-High	Fit, breathing, heat, and communication access matter.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/
Penis gag	Protocol, Bondage & D/s Details	Phallic mouth-gag style used as restraint or sexualized gear.	Moderate-High	Jaw strain, gag reflex, airway, and hygiene considerations.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/
Nose-hook restraint	Bondage & Restraint	Hook-style facial restraint that uses the nose as a control or positioning point.	High	Delicate tissue and facial injury risk; specialty equipment.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment; KYNK 101 — Kynklopedia	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/; https://kynk101.com/kynklopedia
Hair bondage	Bondage & Restraint	Using hair as part of a restraint, tie, or control arrangement.	Moderate-High	Scalp, neck, and hair-damage considerations; avoid loading the neck.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Ichinawa / ippon nawa bondage	Bondage & Restraint	One-rope bondage technique built around using a single rope.	Moderate	Technique-specific rope bondage; circulation and nerve awareness still apply.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Self-bondage	Bondage & Restraint	Solo bondage in which a person restrains themself.	High	Solo restraint carries elevated emergency-release risk and belongs in advanced/specialty coverage.	KYNK 101 — Kynklopedia	https://kynk101.com/kynklopedia
Vacuum-bed bondage	Bondage & Restraint	Vacuum enclosure that immobilizes the body inside flexible material.	High	Breathing, heat, panic, positioning, and rapid-release concerns.	Wikipedia — List of BDSM equipment; Fetish.com — BDSM equipment; KYNK 101 — Kynklopedia	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetish.com/list-of-kinks-and-fetishes/bdsm-equipment/; https://kynk101.com/kynklopedia
Sex swing / bondage sling	Sexual Activities & Techniques	Suspended sling or swing used for positioning, support, or restraint during sexual play.	Moderate-High	Anchor integrity, falls, joints, and suspended positioning matter.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list; Fetish.com — Sex toys	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture; https://www.fetish.com/list-of-kinks-and-fetishes/sex-toys/
Genital stocks	Bondage & Restraint	Stocks designed specifically to restrain or expose the genitals.	High	Compression and vulnerable-tissue injury risk.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
A-frame bondage	Bondage & Restraint	A-frame furniture used as a positioning or restraint structure.	Moderate-High	Stability, attachment points, falls, and joint positioning matter.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Berkley horse	Bondage & Restraint	Specialized horse-style bondage furniture used for positioning and restraint.	Moderate-High	Furniture stability and positional strain matter.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Bondage bench	Bondage & Restraint	Bench designed to support restrained positioning for BDSM scenes.	Moderate	Stability, anchor points, circulation, and body positioning matter.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
Bondage frame	Bondage & Restraint	Free-standing or fixed frame used as an anchor and positioning structure for restraint.	Moderate-High	Structural integrity and safe anchor placement are critical.	Wikipedia — List of BDSM equipment; FETDOM — BDSM furniture list	https://en.wikipedia.org/wiki/List_of_BDSM_equipment; https://www.fetdom.com/blogs/blogs/a-complet-list-of-bdsm-furniture-bondage-furniture
