Category	Idea	What makes it hit	Suggested intensity	Notes
Physical	Wall sit	Burn + endurance + being told to hold	2	Keep time bounded and posture safe.
Physical	Kneeling in a designated posture	Ritual + stillness	2	Use a safe surface; avoid joint injury.
Physical	Arms held out with a light object	Muscle fatigue + obedience	2	Keep the object light and duration short.
Physical	Hold a book overhead	Awkward endurance	2	Stop for numbness, sharp pain, or joint strain.
Physical	Slow squat hold	Controlled discomfort	2	Short intervals; avoid pushing through joint pain.
Physical	Tiptoe hold against wall	Balance + burn	2	Use wall support and short intervals.
Physical	Safe textured standing/kneeling surface	Sensory intensity	2-3	Seek texture/pressure rather than sharpness.
Physical	Clothespins on agreed low-risk areas	Localized sensation + anticipation	2-3	Pre-agree placement and duration.
Physical	Brief cold-object hold in hand	Sharp sensory input	2	Short, controlled exposure only.
Physical	Firm pressure massage used as discipline	Intense sensation without impact	1-2	Avoid vulnerable areas.
Obedience	Don't-move drill	Lizard brain vs conscious submission	2	Safewords and necessary movement always override.
Obedience	Permission required to shift position	Loss of control	2	Time-bounded.
Obedience	Permission required to speak	Verbal restraint	2	Safewords / necessary communication always exempt.
Obedience	Stay in place until formally dismissed	Anticipation + authority	2	Use a known maximum duration.
Obedience	Hands-on-head / hands-behind-back posture	Visible submission	1-2	Avoid painful shoulder positions.
Obedience	Hold eye contact while being corrected	Psychological intensity	2	Easy to stop if it becomes emotionally overwhelming.
Obedience	Count each impact/sensation	Keeps attention present	2-3	Use only with already-negotiated physical play.
Obedience	Repeat a short acknowledgment after each count	Ritualized discipline	2	Keep wording behavior-focused, not identity-attacking.
Obedience	Respond only with agreed short answers/titles	Structured control	1-2	Safewords remain unrestricted.
Obedience	Complete a simple command sequence perfectly	Precision + correction	1-2	Keep it playful and achievable.
Psychological	Listen to a corrective recording while still/restraint-negotiated	Immersive + focused	3	Pre-agree content; avoid shame/identity attacks.
Psychological	Write a short reflection before release	Links consequence to behavior	1-2	Keep it concise and specific.
Psychological	Write lines tied to the actual rule	Repetitive + corrective	1	Avoid excessive volume.
Psychological	Read back what you wrote aloud	Vulnerability + accountability	2	Can be emotionally intense; allow opt-out.
Psychological	Explain what happened without excuses	Directness	2	Behavior-focused, not adversarial.
Psychological	State what you'll do differently next time	Closure	1	Good for resolving the consequence cleanly.
Psychological	Wait in position before knowing the punishment	Anticipation	2-3	Use a pre-agreed maximum wait.
Psychological	Mystery punishment from a pre-approved pool	Uncertainty	2-3	Only draw from already-approved options.
Psychological	Taylor chooses from three agreed options	Surrendered choice	2	All choices remain pre-consented.
Psychological	Jackie chooses her own punishment from three	Self-selection intensifies accountability	2	Can create interesting psychological weight.
Psychological	Timer visible	Watching the consequence happen	1-2	Known endpoint can increase ritual feel.
Psychological	Timer hidden with a known max	Bounded uncertainty	2-3	The maximum should be explicit in advance.
Sensory	Blindfold + silence	Deprivation + anticipation	2-3	Maintain easy safeword/signal access.
Sensory	Blindfold + verbal instruction only	Dependence on voice	2-3	Keep environment physically safe.
Sensory	Headphones + recording	Isolation + immersion	3	Ensure an immediate stop signal is still available.
Sensory	Alternating warm/cool sensations	Nervous-system contrast	2	Avoid temperature extremes.
Sensory	Texture-based task	Sensory focus + stillness	1-2	Use non-damaging textures.
Sensory	Strong but safe scent paired with punishment ritual	Association / conditioning	1	Avoid irritants/allergens.
Mixed	Wall sit while listening to correction	Physical + psychological	3	Keep both duration and wording bounded.
Mixed	Kneel, count, then reflection	Ritual + discomfort + accountability	2-3	Useful as a contained start-to-finish ritual.
Mixed	Impact followed by immediate return to posture	Composure requirement	3	Use only with already-negotiated impact play.
Mixed	Hold position while answering questions	Divided attention	2	Questions should clarify, not interrogate.
Mixed	Service task under strict instructions	Useful + submissive	1-2	Keep task reasonable and safe.
Mixed	Clean or organize one specific thing as restitution	Tangible corrective result	1	Good low-intensity option.
Mixed	Lose choice of movie/food/activity for the evening	Behavioral consequence	1	Keep ordinary affection outside the reward economy.
Mixed	Delayed access to a treat	Anticipation + denial	1	Short and clearly bounded.
Mixed	No flavored drinks / sweets for a short window	Simple aversive consequence	1	Avoid if it conflicts with nutritional needs.
Mixed	Taylor chooses outfit/activity/meal for a period	Loss of choice	1-2	Choices still respect limits and practical needs.
Mixed	Correction ritual ending with formal release	Containment + closure	2	Explicit 'done/resolved' ending can prevent lingering shame.
Mixed	Earn release by completing a tiny task	Resolution + closure	1-2	Avoid open-ended or escalating demands.
Playful	Carry a note/card saying what rule was broken	Mild embarrassment + reminder	1	Keep private/public exposure within explicit consent.
Playful	Wear a silly agreed 'I got a demerit' token	Visible consequence	1	Only in contexts both agree to.
Playful	Ask permission for one normally automatic privilege	Temporary power shift	1-2	Time-bounded and never applies to necessities.
Playful	Short corner time	Classic disciplinary vibe	1	Keep duration modest.
Playful	Write an apology in intentionally formal language	Absurd + corrective	1	Can keep the tone playful.
Playful	Tiny service ritual before returning to normal	Symbolic restitution	1	Good for quick closure.
