Master + pet Kink Catalog	Unnamed: 1	Unnamed: 2
551 kink / fetish / role / play concepts organized for discussion, filtering, preference tracking, and future quiz mapping.		
		
How to use		
1	Filter Category / Risk / Role	Use the Catalog table filters to work through one cluster at a time.
2	Rate Interest	Love / Like / Maybe / Neutral / No / Hard Limit.
3	Rate direction separately	Giving and receiving are tracked independently for Master and pet.
4	Mark Scene Use	Reward, Punishment, Scene, Protocol, Fantasy, Neutral, or Multiple.
5	Use Notes	Add conditions, body-area limits, context, or 'only if...' details.
		
Notes		
This expanded version adds 159 new questionnaire/catalog concepts from a review of KinkSheet, 3Fun, TBô, and a 400+ Tumblr fiction/trope reference. Because those sources mix kinks, sex acts, relationship structures, and fictional tropes, the catalog intentionally labels them as discussion items rather than claiming every row is a formal kink identity. Real-world sexual content involving minors or animals, self-harm/suicide material, and non-consensual abuse entries were not imported; where useful, consensual adult fantasy/roleplay variants are labeled explicitly.		
		
		
		
		
		
		
Category	Count	
Clothing, Gear & Fetishwear	34	
Sexual Activities & Techniques	31	
Protocol, Obedience & Service	27	
Bondage & Restraint	25	
Sensory Play	25	
Power Exchange & Roles	23	
Body-Part & Sensory Fetishes	22	
Miscellaneous & Meta-Kink	20	
Roleplay & Fantasy	20	
Praise, Degradation & Humiliation	19	
Protocol, Bondage & D/s Details	19	
Impact Play	18	
Pain & Sensation	18	
Psychological & CNC	17	
Body Focus, Worship & Transformation	16	
Cognitive & Competence Play	16	
Group Dynamics & Consensual Non-Monogamy	16	
Sexual Contexts & Environments	16	
Fluids, Excretions & Body Responses	15	
Psychological, Verbal & Emotional	15	
Orgasm & Arousal Control	14	
Pet & Animal Roleplay	14	
Caretaking & Reward-Oriented	12	
Collars, Symbols & Marking	11	
Endurance & Positioning	11	
Asymmetry, Incompleteness & Irritation	10	
Exhibitionism & Voyeurism	10	
Primal Play	10	
Roleplay & Scenario Kinks	9	
Surreal, Transformation & Fictional Fantasy	9	
Edge Play / High-Risk Specialty	7	
Medical & Clinical Kinks	7	
Mess & Body-Fluid Adjacent	7	
Electrical & Specialty	4	
Relational & Lifestyle Dynamics	4	
