Catalog Category ID	Context Category ID	Weight
asymmetry-incompleteness-irritation	playful-psychological	0.50
asymmetry-incompleteness-irritation	sensory-intensity	0.75
body-focus-worship-transformation	praise-recognition	0.50
body-focus-worship-transformation	sexual-scene	0.50
body-part-sensory-fetishes	sensory-intensity	1.00
bondage-restraint	restraint-control	1.00
caretaking-reward-oriented	care-pampering	1.00
clothing-gear-fetishwear	sensory-intensity	0.50
clothing-gear-fetishwear	sexual-scene	0.75
cognitive-competence-play	accountability-structure	0.50
cognitive-competence-play	playful-psychological	0.75
collars-symbols-marking	connection-attention	0.50
collars-symbols-marking	protocol-obedience	0.75
edge-play-high-risk-specialty	sensory-intensity	0.75
edge-play-high-risk-specialty	sexual-scene	0.50
electrical-specialty	sensory-intensity	1.00
endurance-positioning	accountability-structure	0.75
endurance-positioning	restraint-control	0.50
exhibitionism-voyeurism	sexual-scene	1.00
fluids-excretions-body-responses	sensory-intensity	0.50
fluids-excretions-body-responses	sexual-scene	0.75
group-dynamics-consensual-non-monogamy	connection-attention	0.50
group-dynamics-consensual-non-monogamy	sexual-scene	0.75
impact-play	impact	1.00
medical-clinical-kinks	restraint-control	0.50
medical-clinical-kinks	sexual-scene	0.75
mess-body-fluid-adjacent	sensory-intensity	0.75
mess-body-fluid-adjacent	sexual-scene	0.50
miscellaneous-meta-kink	playful-psychological	0.75
orgasm-arousal-control	restraint-control	0.75
orgasm-arousal-control	sexual-scene	0.75
pain-sensation	sensory-intensity	1.00
pet-animal-roleplay	playful-psychological	0.75
pet-animal-roleplay	protocol-obedience	0.50
power-exchange-roles	protocol-obedience	0.75
power-exchange-roles	restraint-control	0.50
praise-degradation-humiliation	playful-psychological	0.75
praise-degradation-humiliation	praise-recognition	0.50
primal-play	playful-psychological	0.75
primal-play	sensory-intensity	0.50
protocol-bondage-d-s-details	protocol-obedience	0.75
protocol-bondage-d-s-details	restraint-control	0.75
protocol-obedience-service	protocol-obedience	1.00
protocol-obedience-service	service	0.75
psychological-cnc	playful-psychological	0.75
psychological-cnc	restraint-control	0.50
psychological-verbal-emotional	playful-psychological	1.00
relational-lifestyle-dynamics	connection-attention	0.75
relational-lifestyle-dynamics	service	0.50
roleplay-fantasy	playful-psychological	0.75
roleplay-fantasy	sexual-scene	0.50
roleplay-scenario-kinks	playful-psychological	0.75
roleplay-scenario-kinks	sexual-scene	0.50
sensory-play	sensory-intensity	1.00
sexual-activities-techniques	sexual-scene	1.00
sexual-contexts-environments	sexual-scene	1.00
surreal-transformation-fictional-fantasy	playful-psychological	0.75
