Category	Idea	Description	Mechanism / Why It Might Hit	Predicted Fit	Structure / Safety Note
Decision Burden	Pick dinner completely solo	Must choose restaurant/place, exact order, sides/drinks, and timing with no input	decision ownership + no delegation	Very High	Use only low-stakes choices; no allergy/medical constraints.
Decision Burden	Plan the whole date	Choose destination, timing, food, activity, route, and backup plan	full decision burden	Very High	Budget and hard limits agreed beforehand.
Decision Burden	Choose the movie and justify it	Pick one movie and give one reason; no 'whatever you want'	commitment + ownership	High	No reopening after selection unless practical issue arises.
Decision Burden	Choose from 10 equally acceptable options	Must narrow a broad menu to one	choice overload	High	All options genuinely acceptable.
Decision Burden	Make a 3-course snack plan	Pick appetizer/main/dessert snack equivalents	many tiny decisions	High	Keep playful, not nutritionally restrictive.
Decision Burden	Choose Taylor's outfit from approved options	Own another person's harmless aesthetic decision	decision responsibility	High	Taylor pre-approves the available clothing.
Decision Burden	Choose the route for an outing	Must pick route/parking plan without asking	uncertainty + ownership	Medium-High	Navigation safety overrides game.
Decision Burden	Create the evening schedule	Assign times/order for dinner, game, bath, movie, etc.	planning burden	Very High	Keep flexible if real needs arise.
Decision Burden	Pick the restaurant and order for both from pre-approved choices	No outsourcing the final call	decision finality	Very High	Taylor can veto for real preferences/allergies.
Decision Burden	Choose one household task to deprioritize	Must explicitly let one thing wait	anti-completion + prioritization	High	Only nonessential chores.
Decision Burden	Rank five fun activities from best to worst	Forced preference articulation	decision precision	High	No ties for the game.
Decision Burden	Choose one reward and reject the other two for that night	Opportunity-cost discomfort	commitment + loss of alternatives	High	All are optional pleasures.
Decision Burden	Choose a random topic category for your own assignment	You create the constraint that will bind you	self-imposed decision	Medium-High	Topic remains safe/low-stakes.
Decision Burden	Pick one of three imperfect solutions	No option is ideal	tolerating tradeoffs	Very High	Use fictional or harmless scenarios.
Decision Burden	Choose the exact takeout order under a time limit	Decision ownership + timer	time pressure + finality	Very High	Enough time to avoid panic; no food-needs interference.
Decision Burden	Choose a gift concept for a fictional person	Must commit with incomplete info	ambiguity + decision burden	High	Fictional scenario only.
Decision Burden	Choose which of three chores Taylor does and which you do	Must distribute labor explicitly	responsibility + fairness	High	Keep chores small and optional.
Decision Burden	Pick a single color/theme for a tiny project	No palette hedging	commitment	Medium-High	Harmless creative task.
Decision Burden	Choose the next weekend micro-outing	Must make the call without brainstorming endlessly	closure pressure	High	Can be a 30-minute outing.
Decision Burden	Make one recommendation with no alternatives	Forbidden from giving a menu	forced decisiveness	Very High	Use low-stakes prompts only.
Timed Competence	20-minute research brief	Research an unfamiliar harmless topic and produce 250 words	competence under time pressure	Very High	No sensitive/high-stakes topics.
Timed Competence	10-minute lightning brief	Learn enough to explain a topic in 5 bullets	compression + timer	High	Use accessible source material.
Timed Competence	Three-source synthesis	Read three short sources and identify consensus/disagreement	synthesis under constraint	Very High	Public, low-stakes subject.
Timed Competence	Teach-it-to-me presentation	Research for 20 minutes, then give Taylor a 3-minute lesson	performance + evaluation	Very High	Questions should be curious, not gotcha.
Timed Competence	One-slide presentation	Explain a topic using one slide / one screen only	compression + format discipline	High	No need for polished visuals.
Timed Competence	Executive memo	Write Decision / Evidence / Risk / Next Step in 200 words	structured reasoning	Very High	Harmless hypothetical topic.
Timed Competence	ELI5 challenge	Learn something technical, then explain it without jargon	translation skill + constraint	High	Taylor judges clarity, not perfection.
Timed Competence	Defend the opposite	Make the strongest case for a harmless position you initially dislike	cognitive flexibility	High	Avoid personally sensitive beliefs.
Timed Competence	Closed-book summary	Study for 10 minutes, close materials, summarize from memory	memory + performance	Medium-High	No shaming for forgetting.
Timed Competence	Q&A after brief	Present a topic then answer 3 follow-up questions	uncertainty + scrutiny	High	No trick questions.
Timed Competence	Unknown question round	Study a topic knowing Taylor will ask one surprise question	anticipation	High	Question stays within studied topic.
Timed Competence	300-word hard cap	Research deeply but final response cannot exceed 300 words	compression frustration	Very High	Word count can be approximate.
Timed Competence	Five-sentence hard cap	Explain something nuanced in exactly five sentences	constraint + external processing denial	Very High	Low-stakes topic.
Timed Competence	60-second pitch	Explain why a harmless idea matters in one minute	speed + synthesis	High	No penalty for normal speech stumbles.
Timed Competence	Comparison matrix	Compare A/B/C on exactly four criteria	structured analysis	High	Criteria chosen in advance.
Timed Competence	Research roulette	Randomly draw topic + format + time limit	uncertainty + competence	High	All cards pre-approved.
Timed Competence	Fact / inference / unknown brief	Research topic and separate each claim into those three buckets	epistemic discipline	Very High	Encourages precision, not shame.
Timed Competence	Find the hidden assumption	Read a short scenario and identify the key unstated assumption	pattern recognition under timer	High	Fictional scenarios.
Timed Competence	Mini peer review	Taylor gives a short argument; identify 2 strengths and 2 weaknesses	balanced critique	High	Use non-personal content.
Timed Competence	Teach back from notes	Make notes, then hand them to Taylor and explain without looking	performance + delayed retrieval	High	Keep topic modest.
Precision Under Constraint	Write lines while a metronome plays	Maintain neatness despite repetitive auditory distraction	attention control	High	Volume comfortable.
Precision Under Constraint	Copy a short paragraph perfectly under a timer	Precision + time pressure	accuracy under countdown	High	Short enough to prevent hand strain.
Precision Under Constraint	Sort cards by suit while answering simple questions	Divided attention	cognitive interference	High	Questions remain easy/non-emotional.
Precision Under Constraint	Alphabetize ten items while music changes unpredictably	Focus under novelty	attention switching	Medium-High	Comfortable volume.
Precision Under Constraint	Stack ten objects neatly with one hand	Precision + artificial constraint	motor frustration	High	Use unbreakable light objects.
Precision Under Constraint	Write five neat sentences with non-dominant hand	Motor frustration + precision	reduced fluency	High	Short duration; no pain.
Precision Under Constraint	Transfer small soft objects between cups with chopsticks	Fine-motor challenge	precision under mild frustration	High	No sharp/hot objects.
Precision Under Constraint	Build a simple block pattern from a picture under time limit	Visual precision + timer	spatial performance	High	Large safe pieces.
Precision Under Constraint	Count backward while folding towels	Cognitive interference	working-memory load	Medium-High	Simple numbers only.
Precision Under Constraint	Spell a chosen sentence aloud while maintaining posture	Language + physical focus	dual-task demand	High	Posture mild and safe.
Precision Under Constraint	Write on a vertical whiteboard	Unfamiliar motor position	novel precision constraint	Medium-High	Comfortable shoulder height.
Precision Under Constraint	Write one line with an intentionally awkward but safe grip	Motor constraint	precision frustration	High	Hand-only grip variation; no mouth-held tools.
Precision Under Constraint	Copy a pattern without rotating the paper	Spatial constraint	denied preferred adjustment	Medium	Simple pattern.
Precision Under Constraint	Sort by two rules at once	Working-memory load	multi-constraint processing	High	Small dataset.
Precision Under Constraint	Follow spoken instructions without seeing the full list	Information gating + precision	no preview / no optimization	Very High	Only harmless tasks.
Precision Under Constraint	Complete a tiny block build using only the shown image	Spatial inference	no step-by-step support	High	Large enough pieces to be safe.
Precision Under Constraint	Neatly label ten items while Taylor asks harmless rapid-fire questions	Distraction + precision	divided attention	High	Can pause if overloaded.
Precision Under Constraint	Write exactly 50 words	Precision + stopping at boundary	hard output constraint	Very High	Harmless topic.
Precision Under Constraint	Copy a paragraph with zero abbreviations	Forced exactness	suppresses shorthand	Medium-High	Keep short.
Precision Under Constraint	Make a simple paper fold while following one-step-at-a-time commands	Precision + external pacing	controlled sequencing	High	No cutting tools needed.
Optimization Denial	Use the provided inefficient method	Must follow a safe slower process even after spotting a better one	optimization denial	Very High	Tiny, harmless task only.
Optimization Denial	No batching allowed	Move or process one item at a time	efficiency frustration	Very High	Light objects, short task.
Optimization Denial	Ask for each next step	Cannot see the full workflow	information throttling	Very High	Set a max duration.
Optimization Denial	One tool only	Complete a trivial task with one pre-approved tool	artificial constraint	High	Tool must be safe and suitable.
Optimization Denial	No shortcuts	Follow every written step exactly	process submission	Very High	No pointless physical exertion.
Optimization Denial	Taylor sets task order	Cannot reprioritize three tiny tasks	loss of sequencing control	Very High	All tasks nonessential.
Optimization Denial	No parallel processing	Must finish one tiny task fully before touching the next	blocked concurrency	Very High	Short set.
Optimization Denial	Stop at good enough	Taylor calls the artifact done before Jackie wants to polish	completion-control transfer	Very High	Only low-stakes artifact.
Optimization Denial	No revision after submission	Once delivered, cannot immediately improve it	finality discomfort	Very High	Can discuss learnings later.
Optimization Denial	Three questions maximum	Must choose the most valuable clarifying questions	constraint + requirements thinking	Very High	Harmless assignment.
Optimization Denial	State assumptions before questions	Cannot instantly interrogate ambiguity	structured restraint	High	Low-stakes scenario.
Optimization Denial	Use Taylor's naming convention	Must preserve a harmless scheme you would not choose	system-control surrender	High	Temporary artifact only.
Optimization Denial	Follow a deliberately verbose checklist	Cannot collapse steps	procedural annoyance	Very High	Keep total task short.
Optimization Denial	Use a fixed template	Cannot redesign the format	constraint + compliance	High	Template provided clearly.
Optimization Denial	No reordering the list	Complete items exactly top-to-bottom	sequencing denial	High	All items equivalent/safe.
Optimization Denial	Do not correct Taylor's harmless inefficient demonstration	Suppress the urge to optimize	suppressed correction impulse	Very High	No consequential tasks.
Optimization Denial	Explain the better method but still use the assigned one	Awareness + denied implementation	optimization frustration	Very High	Makes the constraint explicit.
Optimization Denial	Wait for approval gates	Stop after each mini-section until Taylor says continue	external pacing control	Very High	No unnecessary long waits.
Optimization Denial	Use the first acceptable solution	Cannot keep searching for optimal	anti-perfectionism + finality	Very High	Low-stakes problem.
Optimization Denial	Choose criteria before seeing options	Commit to evaluation framework first	limits post-hoc optimization	High	Fictional choice set.
Presentation & Accountability	Formal 3-minute presentation to Taylor	Stand/sit in designated presentation spot and deliver the result	performance + authority framing	Very High	No humiliation; constructive tone.
Presentation & Accountability	Presentation with visible timer	Must finish before time expires	time pressure	High	Reasonable time budget.
Presentation & Accountability	Presentation with one interruption question	Must recover and continue	composure	High	Question stays relevant.
