Category ID	Category	Display Order	Taxonomy Version
care-pampering	Care / Pampering	1	1
praise-recognition	Praise / Recognition	2	1
choice-privilege	Choice / Privilege	3	1
connection-attention	Connection / Attention	4	1
service	Service	5	1
accountability-structure	Accountability / Structure	6	1
impact	Impact	7	1
restraint-control	Restraint / Control	8	1
sensory-intensity	Sensory / Intensity	9	1
sexual-scene	Sexual / Scene	10	1
protocol-obedience	Protocol / Obedience	11	1
playful-psychological	Playful / Psychological	12	1
