Category ID	Category	Domain	Display Order
asymmetry-incompleteness-irritation	Asymmetry, Incompleteness & Irritation	sensation	1
body-focus-worship-transformation	Body Focus, Worship & Transformation	body-fetish	2
body-part-sensory-fetishes	Body-Part & Sensory Fetishes	body-fetish	3
bondage-restraint	Bondage & Restraint	bondage-control	4
caretaking-reward-oriented	Caretaking & Reward-Oriented	care-reward	5
clothing-gear-fetishwear	Clothing, Gear & Fetishwear	gear-fetishwear	6
cognitive-competence-play	Cognitive & Competence Play	cognitive	7
collars-symbols-marking	Collars, Symbols & Marking	symbols-marking	8
edge-play-high-risk-specialty	Edge Play / High-Risk Specialty	edge-specialty	9
electrical-specialty	Electrical & Specialty	sensation	10
endurance-positioning	Endurance & Positioning	sm-intensity	11
exhibitionism-voyeurism	Exhibitionism & Voyeurism	display-context	12
fluids-excretions-body-responses	Fluids, Excretions & Body Responses	body-fluid	13
group-dynamics-consensual-non-monogamy	Group Dynamics & Consensual Non-Monogamy	relational-social	14
impact-play	Impact Play	sm-intensity	15
medical-clinical-kinks	Medical & Clinical Kinks	edge-specialty	16
mess-body-fluid-adjacent	Mess & Body-Fluid Adjacent	body-fluid	17
miscellaneous-meta-kink	Miscellaneous & Meta-Kink	misc	18
orgasm-arousal-control	Orgasm & Arousal Control	arousal-control	19
pain-sensation	Pain & Sensation	sm-intensity	20
pet-animal-roleplay	Pet & Animal Roleplay	roles-headspaces	21
power-exchange-roles	Power Exchange & Roles	power-exchange	22
praise-degradation-humiliation	Praise, Degradation & Humiliation	psychological	23
primal-play	Primal Play	roles-headspaces	24
protocol-bondage-d-s-details	Protocol, Bondage & D/s Details	power-exchange	25
protocol-obedience-service	Protocol, Obedience & Service	power-exchange	26
psychological-cnc	Psychological & CNC	psychological	27
psychological-verbal-emotional	Psychological, Verbal & Emotional	psychological	28
relational-lifestyle-dynamics	Relational & Lifestyle Dynamics	relational-social	29
roleplay-fantasy	Roleplay & Fantasy	fantasy-roleplay	30
roleplay-scenario-kinks	Roleplay & Scenario Kinks	fantasy-roleplay	31
sensory-play	Sensory Play	sensation	32
sexual-activities-techniques	Sexual Activities & Techniques	sexual-activity	33
sexual-contexts-environments	Sexual Contexts & Environments	display-context	34
surreal-transformation-fictional-fantasy	Surreal, Transformation & Fictional Fantasy	fantasy-roleplay	35
