Action ID	Label	Description	Context Categories	Source Origins	Notes
action-10-minute-lightning-brief	10-minute lightning brief	Learn enough to explain a topic in 5 bullets — compression + timer	accountability-structure:1.00	punishment|Cognitive 100|23	Safety/structure: Use accessible source material.
action-20-minute-research-brief	20-minute research brief	Research an unfamiliar harmless topic and produce 250 words — competence under time pressure	accountability-structure:1.00	punishment|Cognitive 100|22	Safety/structure: No sensitive/high-stakes topics.
action-300-word-hard-cap	300-word hard cap	Research deeply but final response cannot exceed 300 words — compression frustration	accountability-structure:1.00	punishment|Cognitive 100|33	Safety/structure: Word count can be approximate.
action-60-second-pitch	60-second pitch	Explain why a harmless idea matters in one minute — speed + synthesis	accountability-structure:1.00	punishment|Cognitive 100|35	Safety/structure: No penalty for normal speech stumbles.
action-achievement-ceremony	Achievement ceremony	Overly formal recognition for something mundane	playful-psychological:0.50;praise-recognition:1.00	reward|Rewards Bonus|45	Deliberately ridiculous.
action-aesthetic-snack-plate	Aesthetic snack plate	Favorite snacks arranged nicely instead of just handed over	care-pampering:0.75;choice-privilege:0.25	reward|Rewards Bonus|8	Reward is care + presentation.
action-affectionate-voice-memo	Affectionate voice memo	Taylor records a short loving/proud/flirty message	connection-attention:0.50;praise-recognition:0.75	reward|Rewards Bonus|12	Replayable reward.
action-align-four-objects-but-leave-one-crooked	Align four objects but leave one crooked	visual incompleteness	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|82	Safety/structure: Harmless objects.
action-align-three-objects-leave-the-fourth-visibly-crooked	Align three objects, leave the fourth visibly crooked	Visual incompleteness	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|23	Safety/structure: Harmless household objects only.
action-alphabetize-ten-items-while-music-changes-unpredictably	Alphabetize ten items while music changes unpredictably	Focus under novelty — attention switching	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|45	Safety/structure: Comfortable volume.
action-alternating-hand-and-paddle	Alternating hand and paddle	contrast of warm sting/thud — uncertainty	impact:1.00	punishment|Creative Pain 100|10	Safety/structure: Keep overall intensity bounded.
action-alternating-pinch-locations	Alternating pinch locations	sharp contrast — uncertainty	sensory-intensity:1.00	punishment|Creative Pain 100|41	Safety/structure: Stay within pre-approved areas.
action-alternating-sting-and-thud-implements	Alternating sting and thud implements	sensory contrast — keeps body guessing	impact:1.00	punishment|Creative Pain 100|11	Safety/structure: Pre-approve implements.
action-alternating-sting-thud-impacts	Alternating sting/thud impacts	unpredictable contrast — keeps the nervous system guessing	impact:1.00	punishment|Pain Batch 2|12	
action-alternating-warm-cool-sensations	Alternating warm/cool sensations	Nervous-system contrast	sensory-intensity:1.00	punishment|Creative Punishments|37	Avoid temperature extremes.
action-answer-what-matters-most-first	Answer 'what matters most?' first	Must prioritize immediately — priority judgment under scrutiny	accountability-structure:1.00	punishment|Cognitive 100|94	Safety/structure: Taylor can ask why afterward.
action-answer-a-question-only-after-a-ten-second-pause	Answer a question only after a ten-second pause	Blocks instant external processing	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|66	Safety/structure: Not during emotionally important conflict.
action-answer-follow-up-in-exactly-30-seconds	Answer follow-up in exactly 30 seconds	Concise thinking — time-boxed synthesis	accountability-structure:1.00	punishment|Cognitive 100|91	Safety/structure: Simple prompt.
action-answer-in-exactly-five-words	Answer in exactly five words	compression + speech constraint	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|53	Safety/structure: Low-stakes topic.
action-answer-only-yes-no-until-released	Answer only yes/no until released	restricted expression	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|54	Safety/structure: Safety/needs communication always unrestricted.
