Source Sheet	Source File	Source Row	Category	Idea	Description / Sensation	Mechanism / Why It Might Hit	Predicted Fit	Suggested Intensity (1-3)	Safety / Structure Note	Notes
Creative Pain 100	jackie_creative_punishment_100.csv	2	Impact	Hand spanking with counting	warm sting	counting + accountability		2	Keep force moderate and away from joints/spine.	
Creative Pain 100	jackie_creative_punishment_100.csv	3	Impact	Leather strap over clothing	broad sting	sound + anticipation		2	Use known safe impact zones.	
Creative Pain 100	jackie_creative_punishment_100.csv	4	Impact	Soft leather paddle	sting + light thud	formal discipline vibe		2	Easy to modulate.	
Creative Pain 100	jackie_creative_punishment_100.csv	5	Impact	Wooden paddle	deeper thud + sting	ritualized punishment		3	Intensity ramps quickly; use conservative force.	
Creative Pain 100	jackie_creative_punishment_100.csv	6	Impact	Hairbrush spanking	dense sting	classic disciplinary association		2-3	Avoid bony areas.	
Creative Pain 100	jackie_creative_punishment_100.csv	7	Impact	Wooden spoon taps	small sharp sting	domestic punishment vibe		2	Use light, controlled taps.	
Creative Pain 100	jackie_creative_punishment_100.csv	8	Impact	Riding crop taps	focused sting	precision + anticipation		2	Use only on agreed safe areas.	
Creative Pain 100	jackie_creative_punishment_100.csv	9	Impact	Slapper impacts	fast sting + noise	sound amplifies anticipation		2	Noise can make it feel harsher than it is.	
Creative Pain 100	jackie_creative_punishment_100.csv	10	Impact	Alternating hand and paddle	contrast of warm sting/thud	uncertainty		2-3	Keep overall intensity bounded.	
Creative Pain 100	jackie_creative_punishment_100.csv	11	Impact	Alternating sting and thud implements	sensory contrast	keeps body guessing		3	Pre-approve implements.	
Creative Pain 100	jackie_creative_punishment_100.csv	12	Impact	Slow-count impact set	building sting	anticipation between strikes		2-3	Known maximum count.	
Creative Pain 100	jackie_creative_punishment_100.csv	13	Impact	Random-pause impact set	sting	unpredictable timing		2-3	Bounded number and duration.	
Creative Pain 100	jackie_creative_punishment_100.csv	14	Impact	Three-strikes-then-freeze pattern	impact + after-sting	must regain stillness		2-3	Safewords always override stillness.	
Creative Pain 100	jackie_creative_punishment_100.csv	15	Impact	Impact then immediate posture reset	sting + composure challenge	obedience after pain		3	Use moderate intensity.	
Creative Pain 100	jackie_creative_punishment_100.csv	16	Impact	Impact with eye contact	sting	vulnerability + attention		2-3	Easy opt-out if emotionally intense.	
Creative Pain 100	jackie_creative_punishment_100.csv	17	Impact	Silent impact round	sting/thud	serious ritual tone		2-3	Keep communication channel for safety.	
Creative Pain 100	jackie_creative_punishment_100.csv	18	Impact	Impact followed by counted breaths	after-sting	composure + ritual		2	No breath restriction; just normal breathing.	
Creative Pain 100	jackie_creative_punishment_100.csv	19	Impact	Impact only after correct response	sting	attention + accountability		2-3	Questions should be simple, not interrogative.	
Creative Pain 100	jackie_creative_punishment_100.csv	20	Impact	Impact after a waiting period	anticipation	delay increases psychological weight		2	Use a known maximum wait.	
Creative Pain 100	jackie_creative_punishment_100.csv	21	Impact	Mystery approved implement	varied	uncertainty without surprise limits		2-3	Draw only from pre-consented options.	
Creative Pain 100	jackie_creative_punishment_100.csv	22	Localized Pain	Firm pinching	sharp localized pressure	precision + control		2	Avoid nerves, bruised skin, and fragile areas.	
Creative Pain 100	jackie_creative_punishment_100.csv	23	Localized Pain	Sustained pinch hold	ache + pressure	endurance		2-3	Short duration; stop for numbness.	
